product_title,product_rating,log_total_reviews,log_purchased_last_month,is_sponsored,buy_box_availability,has_coupon,discount_percentage,product_category,brand_cat,is_high_end,spec_ram_gb,spec_storage_gb,spec_screen_inch,spec_power_w,spec_pack_count,spec_resolution_cat,spec_refresh_rate_hz,spec_ram_speed_mhz,log_original_price,is_best_seller,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99
"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",4.4,5.883322388488279,0.0,Sponsored,1,0,0.0,PC Components,OTHER,1,,,,,,,,,5.484755438853831,No Badge,0.01109533,-0.015718743,0.0045204163,0.022629693,0.012084559,0.020482004,0.0011267588,0.008317441,0.010126933,0.0030764937,0.019800313,0.010673106,-0.029220141,-0.009521127,0.0057040006,0.037546907,-0.030555043,0.004131779,0.01950606,-0.011853095,0.00686273,-0.010081017,0.015117871,-0.005671084,0.010061953,-0.019929087,0.009897184,0.02480175,0.011718199,-0.0102497,0.016991986,0.019359462,0.004640949,-0.005522862,0.008675791,-0.0048970617,-0.0019234484,0.005337527,0.00017541647,-0.013204793,0.014714272,-0.00831167,-0.008661563,0.0010771127,-0.0009988998,0.011585031,-0.0056996644,-0.0053545646,0.0066232504,0.027024934,-0.0019838465,-0.0016036071,0.017690275,0.016399752,0.003858868,0.008852584,0.007495584,0.012567237,0.003638017,-0.002434276,0.0014044754,-0.017401364,0.0025307173,-0.011474379,-0.0024580935,0.0037052166,0.0083333105,0.009252662,0.0061775176,-0.010354382,-0.009640016,-0.0022682687,-0.0013256632,0.0032758433,-0.008918242,-0.008093502,0.0010086317,-0.007173638,-0.0026853457,0.0033018403,-0.01410681,-0.005429928,0.002836545,-0.00045777415,0.008090139,-0.0067714145,-0.0054311864,-0.0016246941,0.006166801,-0.002136609,0.0020933114,0.0125374645,0.010904155,-0.004105718,0.004661508,0.0042839367,0.0020217113,-0.0014948566,-0.004406726,-0.009016672
OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,4.6,5.6240175061873385,0.0,Sponsored,1,0,0.0,Storage & Memory Cards,OTHER,1,,250.0,,,,,,,3.783962335360629,No Badge,0.022172302,-0.018710852,-0.001866281,0.022094473,0.027754307,0.013199627,-0.007145889,0.0026027784,0.022455834,0.003786087,0.01454661,0.010048866,-0.018341802,-0.009652883,0.03251253,0.033774428,-0.037187606,-0.00025398284,0.0155343935,-0.0038906988,0.0138388965,0.004133509,-0.009404413,-0.0027872398,0.011382196,0.022462405,0.0065917037,0.016870923,0.025204986,-0.007570848,0.012116023,0.012188923,0.0041581094,0.03180929,-0.00322715,-0.011778034,-0.0016078968,-0.011867762,-0.00063955784,-0.01732932,0.023068175,0.019623395,0.0054551177,0.009189856,0.023171268,0.007703699,-0.015254347,-0.005107036,-0.009340383,0.01030769,-0.0013573505,-0.0016098879,0.005318176,0.025896551,-0.012555277,0.00018941425,0.011728929,0.0008526463,-0.00033301115,-0.013331778,-0.002929531,-0.009767799,0.0030074585,0.00029054657,-0.012277814,-0.006644538,0.014975665,0.014362436,0.011729102,0.00036912505,-0.013645023,-0.0041485736,0.00041520596,0.0034729969,-0.01644491,-0.009370547,-0.0030132523,-0.015434918,0.0055231526,0.016546069,-0.0035274513,0.011907441,0.001973914,-0.0139223775,0.008518104,-0.0059088375,-0.015794253,-0.009935409,0.001139082,0.00077539077,-0.0005157981,0.009378916,0.017396804,0.0046981936,0.010668006,0.011497308,-0.002488386,-0.010471575,0.004176661,-0.017855613
"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",4.6,11.523598307026532,10.819798284210286,Organic,0,0,0.0,"Office Supplies, Ink & Toner",HP,0,,,,,,,,,3.607940511608584,Best Seller,-0.032137692,0.06963074,0.007228911,-0.031252712,0.024248824,-0.0044555664,-0.018168084,0.008617103,0.0002576597,-0.014406219,0.016720496,-0.0075060576,-0.0008580312,-0.01830706,0.004616052,-0.02034895,0.018012412,-0.005564496,0.0073539317,0.00768065,0.008226534,0.0075437627,0.007646922,-0.008888252,0.0030048937,-0.005297035,0.0028070584,-0.011478357,0.0024956763,-0.006013375,0.01770993,0.010465629,-0.018933568,0.02525083,0.0150163695,0.007264739,-0.0029647294,-0.0065481104,0.012564328,0.0059175137,-0.0017876318,0.0028306087,-0.0070121605,0.0075440584,-0.000362298,0.0026960652,0.00384433,0.0051244795,-0.008395547,-0.0018939562,-0.0025203507,-0.00013228133,0.0074604824,0.0071875043,-0.006249128,-0.0067305174,0.008806651,0.0051812064,-0.0017576478,-0.0017654002,-0.009426873,-0.00741791,-0.004376823,0.0051690005,0.0069274576,0.008094652,-0.003250055,0.0015711617,-0.0059585394,-0.004548057,-0.010073539,-0.0055401884,-0.0006650612,-0.009432254,-0.0015868433,0.002733754,-0.0010230746,-0.008347523,0.008130636,0.0022426117,0.007248058,-0.0011747165,-0.0022628615,0.0026883862,0.0064361924,-0.005467565,-0.004462607,0.00018413924,0.008310791,0.00048106862,0.0072268564,0.0043883733,-0.00014492637,0.0008384073,0.0048822444,0.0037873555,-0.0017853007,0.0069753285,-0.00451551,0.0064569507
"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",4.6,10.986867753062814,10.819798284210286,Organic,0,0,0.0,"Office Supplies, Ink & Toner",HP,0,,,,,,,,,3.804215052793841,No Badge,-0.024236724,0.07611124,0.005213976,-0.04528621,0.028331324,0.0037430823,-0.022492386,0.016752273,-0.0075648203,-0.011156291,0.016854994,-0.008889511,-0.0021999255,-0.0073658526,0.00066271424,-0.018153481,0.020867407,0.0011462569,0.0007001981,0.0015058657,0.0070904354,0.0038497387,0.0115835145,0.009384483,-0.009143837,-0.008968659,0.013010096,-0.021088101,0.007684365,-0.00045824423,0.0150181865,0.009494156,-0.024020672,0.0235757,0.011019947,0.001219511,0.00044876616,0.0051464066,0.02026543,0.009180469,-0.005056887,0.0064684227,-0.0034930669,-0.0035692947,0.006160065,0.001966048,0.0022363365,0.0034658164,-0.006806897,0.0010540299,-0.010838549,0.008082721,0.0027623903,0.008180008,-0.00029587,-0.0034838337,0.0033061113,0.009837521,-0.0018920638,0.005500421,-0.008920163,-0.017779015,0.001184416,0.015968163,0.011947532,0.0067584105,0.0070941225,0.0020019077,-0.0044890475,0.0019437736,-0.010731678,-0.008602156,-0.004087664,-0.00943552,-0.0036461726,0.004453888,0.0012638941,-0.010160509,-0.0011306778,-0.0028079282,0.012253436,0.00021967641,0.00020246394,-0.006601679,-0.0030676508,-0.0022729703,-0.0061314665,-0.0038107801,0.0032460913,0.0032687425,0.013134522,0.00096348673,-0.002332327,0.0041095363,0.011417747,-0.0018396657,0.0023919418,0.005061254,0.0021033427,0.0008652117
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.5,11.598433212074823,9.210440366976515,Organic,0,0,0.0,"Audio, Sound & Recording Gear",SONY,0,,,,,,,,,2.355177543113216,Best Seller,-0.009892538,-0.047977164,0.01045984,-0.06739597,-0.04162322,-0.0029056072,-0.0078097656,0.009416938,-0.004799962,-0.013778135,0.03493514,0.0009889603,0.0030355603,-0.009814292,0.013229325,-0.016923502,-0.0015855283,-0.009145424,0.007478185,0.028648317,-0.001523735,-0.018904505,-0.009128973,7.279962e-05,0.0115114525,-0.01150091,0.017802577,0.0042763576,-0.015253529,0.009281492,-0.012696242,-0.021913178,0.007000556,-0.0013029203,-0.008725656,0.006987147,0.009837801,0.012179263,0.003173042,0.0012490824,0.016184743,0.015663283,-0.013721084,0.008496731,-0.008334052,-0.0128389355,0.005324334,0.0067518763,-0.014413523,-0.018701226,-0.020291142,0.00036780164,0.0053202286,-0.016474476,0.0064791497,-0.0015037712,-0.0069824085,0.028089149,-0.006877085,0.00718271,-0.010360107,-0.00012038462,-0.0011798255,0.009117294,-0.013123555,-0.0065053985,-0.002865944,0.0065541193,0.01823639,0.0036525046,0.0014744587,-0.0043906067,-0.0020236596,0.004056154,-0.009943007,-0.0002453141,-0.0019068755,0.0073151644,0.0049219355,-0.0067556156,0.00055779517,-0.0029874055,-0.0014230451,0.005770874,0.0024488382,-0.00066407793,-0.016266618,0.010428401,-0.0036595725,-0.0058349245,0.0044905078,-0.005346004,0.010584065,0.01985832,0.011699794,0.008718209,-0.00963302,-0.0077857487,0.0040502218,-0.0029622912
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",4.8,11.739303778794367,11.289794413577894,Organic,1,0,0.14,Power & Batteries,DURACELL,0,,,,,24.0,,,,3.130700133964476,No Badge,-0.051582977,0.010733888,0.0018378496,0.0035601705,0.02364926,-0.033566684,0.038265653,-0.0032871068,-0.0002201572,0.018171057,0.023379259,0.0012616068,0.033875927,0.020460173,-0.004957095,-0.004824283,-0.01172623,0.005681783,0.0056537613,-0.011446128,0.00064740516,0.00049507304,-0.0126048885,0.0135758,0.027987052,-0.00696899,0.014143769,-0.0029222332,-0.00018917769,0.005894918,0.008789934,0.010719165,-0.0075601675,0.00045936555,-0.0043701143,-0.009786867,-0.004812125,0.0005599223,-0.003706254,-0.005044492,-0.0052339565,-0.0009236429,-0.007674491,-0.0002998812,-0.0045193494,0.012547415,-0.011714388,-0.013804611,0.00695554,0.0018461179,0.0020933924,-0.006248396,-0.016072355,0.013059506,-0.0077529866,0.0030657798,-5.5912882e-05,-0.0012599304,0.00019449927,-0.008117642,-0.00025531463,-0.00482592,-0.0011873902,-0.0035925647,-0.0052078646,0.0064154696,0.00047024712,0.0015569702,-0.007231324,0.0018944116,-0.0060714483,0.0019147648,0.016093295,0.002668878,0.0004402278,0.0066068154,-0.0054792035,0.0032706354,0.0011346564,0.0013835151,-0.007885702,-0.007449316,-7.303059e-05,0.009101064,-0.009853898,0.00021653599,-0.0045079235,-0.007442441,0.0005489066,0.009431286,0.0019036401,0.007218914,-0.0031841164,0.0035709636,-0.008133166,-0.0023407582,-0.0026110038,0.0012061018,-0.0014800383,0.0028093625
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",4.6,9.621655004873238,9.210440366976515,Organic,0,0,0.0,Wearables,APPLE,0,,,,,,,,,2.8390784635086144,No Badge,-0.010727629,-0.09045981,0.013141394,-0.071129605,0.023010105,0.013339102,-0.019910522,-0.034029946,0.0057113357,-0.0051612407,0.031042732,0.000999406,-0.0044713914,0.045754,0.0056494027,0.014484999,-0.0057675615,-0.013157304,0.014946274,0.03350504,0.017071037,0.0062345094,-0.01077408,0.005881451,-0.0032394156,0.0002725944,0.034755785,-0.0053363293,0.0033385158,0.020997446,-0.011948558,-0.0019075088,-0.0015486851,0.012348676,-0.0023685223,-0.028908763,-0.00770328,0.00673398,-0.0033437833,0.009165898,0.010793387,-0.015129268,0.0010551028,0.0046494687,0.0008767904,-0.008139828,0.0006798841,-0.00054615363,-0.0023640078,-0.03211101,0.0026860656,-0.0012904257,0.00579229,-0.0085692555,0.009990148,-0.021454656,-0.01252564,0.011171896,0.0040401937,-0.002931349,-0.0133351125,0.0013892688,0.003768674,-0.0008411035,-0.01853113,0.012303321,0.0250165,0.0058552288,-0.0017707034,-0.005847172,-0.003575202,-0.016092168,-0.015263243,0.016262554,0.01149101,0.013380591,0.00092337653,0.009532922,0.009570193,0.006305512,-0.012438059,-0.018797481,-0.004587519,-0.008485655,-0.0040224018,0.004093053,-0.0010190718,-0.014204599,0.007683154,-0.00021571713,0.00714288,-0.009419173,0.0028878786,0.0077942098,0.0010549314,-0.01992559,-0.008314528,-0.020449273,-0.0013781888,0.001621455
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",4.8,10.901266101256551,11.51293546492023,Organic,1,0,0.31,"Office Supplies, Ink & Toner",AMAZON,0,,,,,150.0,,,,2.7298116928837226,No Badge,-0.03842537,0.016376957,-0.016003788,-0.0069612563,-0.02035974,-0.036481872,-0.0075185373,0.020235822,0.045004666,-0.024336994,0.015453361,-0.012098521,0.023737825,0.04963292,0.006261766,0.015710367,-0.01927149,-0.00933671,-0.032530703,-0.003407849,-0.0107588675,-0.018333577,0.022283778,-0.005968772,0.009337906,0.018434756,0.0069505014,0.0018764026,0.015238516,-0.008076478,0.028414417,-0.008061161,0.012131213,-0.007293649,0.03625531,-0.01630681,-0.017418906,0.018492604,0.009667404,0.013382468,0.007895668,-0.0054110363,-0.00464667,-0.008717172,0.00504644,0.01257449,-0.010807611,-0.00973542,-0.009684486,-0.009537261,-0.0011292286,-0.010276798,0.0022754055,-0.016622087,0.0037514903,0.0012682248,-0.020048775,0.0059187487,0.020829761,0.0063724443,-0.0031133778,-0.003076259,-0.009937698,-0.0027272105,-0.021764036,0.01888101,-0.01247658,0.013072979,0.008547235,-0.00049728435,0.006276138,-0.00015016366,0.00024763867,0.0016331133,-0.0040494055,0.007758051,0.014041023,-0.008734255,-0.006911289,-0.00014433078,0.0023587346,-0.0021685374,0.0052399663,0.007835188,-0.0046066428,-0.007513595,-0.01232942,0.006514704,-0.0094134305,-0.012548644,-0.006915806,0.005558243,-0.0072006043,-0.005306826,0.014729099,-0.003293492,0.011409953,0.0005887104,-0.00020090863,-0.0026293322
"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",4.6,9.460398455831276,9.210440366976515,Organic,0,0,0.0,Wearables,APPLE,0,,,,,,,,,4.991384514504119,No Badge,0.0024635494,-0.019569427,0.007118702,-0.0065232217,-0.028634056,0.018104792,0.036696866,-0.042877667,-0.001062084,-0.024395168,-0.013234332,0.033530414,0.004702352,0.0028284788,0.005869746,0.006022358,-0.016869012,-0.019723184,-0.0078441575,-0.0032602008,-0.00064817443,0.016823951,0.013911365,-0.020160407,0.0015085265,0.012388192,0.024497684,0.022163227,-0.005640477,-0.00011394173,0.0024394812,0.0060723536,0.016777713,-0.006597493,0.0008865354,-0.0008297786,-0.018022006,0.012031693,0.014881521,-0.01792021,0.005851154,-0.0055379514,0.008482758,-0.011454158,0.0035690754,0.014808074,0.0047677867,0.008489139,-0.011223029,-0.0070101954,-0.009312857,0.0034955628,0.0035810843,-0.007364347,-0.008269714,0.0017535109,-0.0026523322,0.01236603,-0.004952641,0.00674757,0.001872139,-0.009571909,0.0057763383,-0.008464137,0.006948934,0.003075961,0.011631833,-0.002382215,0.005683194,0.0062867915,0.00090095773,-0.0018214984,0.011167312,0.0010387935,0.0020807907,-0.006080106,0.0028243493,0.0043425877,-0.0062435865,0.009535329,-0.000991486,-0.017688863,-0.010040321,-0.0033582964,-0.008026406,0.005990114,-0.0028595775,-0.011620792,0.012092181,-0.0049764686,-0.0040675364,-0.004592769,0.0077692317,0.00374242,-0.0021768063,-0.01186224,-0.009135738,-0.0077619553,0.0062551443,0.0036737844
"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",4.6,7.554858521040676,9.210440366976515,Organic,0,0,0.0,TV & Video Displays,ROKU,0,,,,,,HD_Basic,,,3.541249137109912,No Badge,0.005957961,-0.030866742,0.0005630255,0.0061198324,0.0118955225,0.02685666,0.0068423524,0.022510901,-0.04021214,-0.0059578717,-0.0076508,-0.011839539,0.024758883,0.00094230473,0.020154312,0.034459528,0.02972667,-0.014799934,0.00081858784,0.033719636,0.014820235,-0.00011915469,0.002333127,-0.008044984,0.019068822,-0.0023788437,0.006099444,-0.017840408,-0.004173234,0.016569365,0.016122434,0.0052655563,-0.0075761806,-0.009962421,0.03676045,-0.010233194,-0.018952938,-0.024681546,-0.01703152,0.0029698089,-0.007672364,-0.025783237,0.0034971572,0.008947114,-0.002609477,0.00323423,0.00051730126,0.0083760675,0.0077612586,-0.006610099,-0.00028800685,-0.018369894,-0.004592987,0.003533231,0.01743207,-0.0096897725,-0.008308822,-0.005782716,-0.012482112,-1.5489757e-05,0.008223994,-0.008770837,0.0014648102,0.011038845,0.0071683777,0.0063558742,-0.008435842,-0.013608951,-0.009728552,0.011777145,-0.0011732988,0.0060475646,-0.0027571134,-0.0073843747,-0.007139082,0.004924124,0.0049483366,-0.0012904638,0.010422006,0.006866496,-0.002636388,0.01002384,-0.0050108386,-0.0004855499,0.0037427945,0.008248104,-0.0040054303,-0.0058762897,0.018100195,0.0023783068,0.00029045902,-0.003469836,0.011241452,0.014099673,-0.005333757,0.0005404912,0.009799443,0.0054927263,0.00659791,0.0031347293
