product_title,product_rating,log_total_reviews,log_purchased_last_month,is_sponsored,buy_box_availability,has_coupon,discount_percentage,product_category,brand_cat,is_high_end,spec_ram_gb,spec_storage_gb,spec_screen_inch,spec_power_w,spec_pack_count,spec_resolution_cat,spec_refresh_rate_hz,spec_ram_speed_mhz,log_original_price,is_best_seller,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49
"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",4.4,5.883322388488279,0.0,Sponsored,1,0,0.0,PC Components,OTHER,1,,,,,,,,,5.484755438853831,No Badge,0.011095345,-0.015718713,0.0045205355,0.022629708,0.012084588,0.020482063,0.0011267513,0.008317441,0.010126933,0.0030765235,0.019800313,0.01067315,-0.029220149,-0.009521127,0.0057039857,0.03754688,-0.030555043,0.0041317716,0.01950594,-0.01185308,0.0068627605,-0.010081022,0.015117874,-0.0056710616,0.0100619495,-0.019929085,0.009897165,0.024801731,0.011718206,-0.010249704,0.016991984,0.019359455,0.0046409573,-0.0055228584,0.008675806,-0.004897099,-0.0019234419,0.005337503,0.00017540902,-0.013204805,0.014714264,-0.008311683,-0.008661561,0.0010771025,-0.0009988905,0.011585038,-0.005699683,-0.0053545535,0.006623255,0.027024927
OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,4.6,5.6240175061873385,0.0,Sponsored,1,0,0.0,Storage & Memory Cards,OTHER,1,,250.0,,,,,,,3.783962335360629,No Badge,0.022172332,-0.018710852,-0.0018662214,0.022094488,0.027754307,0.013199598,-0.0071459115,0.002602756,0.022455849,0.0037860721,0.0145465955,0.010048911,-0.018341806,-0.009652868,0.03251256,0.033774436,-0.037187606,-0.00025398284,0.015534364,-0.003890708,0.0138389,0.004133496,-0.009404406,-0.0027872473,0.011382222,0.022462409,0.0065917075,0.01687092,0.025204964,-0.0075708516,0.012116013,0.012188919,0.004158115,0.031809293,-0.003227142,-0.011778034,-0.0016078902,-0.011867765,-0.0006395504,-0.017329324,0.023068171,0.019623393,0.005455129,0.009189865,0.023171278,0.0077037066,-0.015254352,-0.005107034,-0.009340385,0.010307688
"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",4.6,11.523598307026532,10.819798284210286,Organic,0,0,0.0,"Office Supplies, Ink & Toner",HP,0,,,,,,,,,3.607940511608584,Best Seller,-0.032137662,0.06963076,0.0072287917,-0.031252697,0.024248824,-0.004455596,-0.018168092,0.008617058,0.0002576448,-0.014406219,0.016720474,-0.0075060576,-0.0008580014,-0.01830709,0.004616022,-0.020348934,0.018012412,-0.0055645034,0.0073539093,0.0076806615,0.008226529,0.0075437534,0.007646911,-0.008888241,0.003004901,-0.0052970313,0.0028070621,-0.011478376,0.0024956837,-0.0060133487,0.017709918,0.010465622,-0.018933581,0.025250833,0.015016387,0.0072647333,-0.0029647257,-0.0065481067,0.012564339,0.00591754,-0.0017876187,0.002830606,-0.007012153,0.007544035,-0.0003623017,0.0026960634,0.0038443413,0.0051244795,-0.008395556,-0.0018939748
"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",4.6,10.986867753062814,10.819798284210286,Organic,0,0,0.0,"Office Supplies, Ink & Toner",HP,0,,,,,,,,,3.804215052793841,No Badge,-0.024236709,0.07611127,0.005214095,-0.04528618,0.028331384,0.003743112,-0.022492379,0.016752258,-0.0075648315,-0.011156291,0.016854994,-0.0088894665,-0.002199918,-0.0073658377,0.00066275895,-0.01815348,0.020867407,0.0011462569,0.0007001981,0.0015058368,0.007090437,0.0038497304,0.011583518,0.009384487,-0.009143852,-0.008968648,0.013010096,-0.021088112,0.0076843575,-0.00045822933,0.015018194,0.009494163,-0.024020655,0.023575705,0.011019944,0.0012195036,0.0004487699,0.00514639,0.020265419,0.00918046,-0.0050568953,0.006468421,-0.0034930706,-0.0035692938,0.006160054,0.0019660518,0.0022363514,0.0034658164,-0.006806895,0.0010540448
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.5,11.598433212074823,9.210440366976515,Organic,0,0,0.0,"Audio, Sound & Recording Gear",SONY,0,,,,,,,,,2.355177543113216,Best Seller,-0.009892523,-0.047977164,0.010459781,-0.06739594,-0.04162316,-0.0029056072,-0.0078097433,0.009416953,-0.004799962,-0.01377812,0.034935124,0.0009889752,0.0030355826,-0.009814337,0.013229325,-0.016923496,-0.0015855283,-0.009145431,0.0074781626,0.028648313,-0.0015237108,-0.018904502,-0.009128973,7.2814524e-05,0.011511449,-0.011500914,0.01780257,0.004276365,-0.015253507,0.009281518,-0.0126962345,-0.021913176,0.0070005283,-0.0013029166,-0.008725643,0.0069871414,0.00983779,0.01217926,0.0031730197,0.0012490824,0.016184732,0.015663281,-0.013721092,0.0084967315,-0.008334056,-0.012838928,0.005324343,0.006751884,-0.014413532,-0.018701244
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",4.8,11.739303778794367,11.289794413577894,Organic,1,0,0.14,Power & Batteries,DURACELL,0,,,,,24.0,,,,3.130700133964476,No Badge,-0.051582903,0.010733858,0.0018376112,0.0035601407,0.02364935,-0.033566713,0.038265675,-0.0032871217,-0.00022015348,0.018170998,0.023379236,0.0012615919,0.033875905,0.020460173,-0.004957065,-0.004824248,-0.01172623,0.005681798,0.0056537464,-0.011446122,0.0006474145,0.00049507746,-0.012604877,0.013575807,0.027987048,-0.0069689937,0.014143754,-0.002922248,-0.00018914789,0.005894933,0.008789934,0.010719165,-0.0075601824,0.00045936927,-0.004370098,-0.009786885,-0.004812128,0.000559913,-0.0037062615,-0.0050444994,-0.005233952,-0.00092363544,-0.0076744743,-0.00029988587,-0.004519355,0.012547415,-0.01171438,-0.013804592,0.0069555286,0.0018461216
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",4.6,9.621655004873238,9.210440366976515,Organic,0,0,0.0,Wearables,APPLE,0,,,,,,,,,2.8390784635086144,No Badge,-0.010727614,-0.09045981,0.013141394,-0.07112959,0.023010135,0.013339102,-0.01991053,-0.034029946,0.0057113357,-0.0051612407,0.031042717,0.0009994209,-0.004471384,0.045754,0.0056494027,0.014484999,-0.0057675615,-0.013157304,0.01494626,0.033505037,0.017071042,0.0062345066,-0.01077408,0.005881451,-0.0032394081,0.00027259812,0.034755785,-0.005336333,0.0033385232,0.020997446,-0.011948559,-0.0019075088,-0.0015486833,0.01234868,-0.0023685119,-0.02890877,-0.00770328,0.0067339726,-0.0033437833,0.009165898,0.010793383,-0.015129276,0.0010550991,0.004649462,0.00087679224,-0.0081398245,0.0006798897,-0.0005461499,-0.0023640078,-0.032111015
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",4.8,10.901266101256551,11.51293546492023,Organic,1,0,0.31,"Office Supplies, Ink & Toner",AMAZON,0,,,,,150.0,,,,2.7298116928837226,No Badge,-0.038425356,0.016376957,-0.016003788,-0.0069612414,-0.02035971,-0.036481872,-0.007518545,0.020235822,0.045004666,-0.024336994,0.015453346,-0.012098506,0.023737833,0.04963292,0.006261766,0.015710365,-0.01927149,-0.00933671,-0.032530718,-0.0034078527,-0.010758862,-0.018333578,0.022283778,-0.005968772,0.009337913,0.01843476,0.0069505014,0.0018763989,0.0152385235,-0.008076478,0.028414415,-0.008061161,0.012131215,-0.0072936453,0.036255322,-0.016306818,-0.017418906,0.018492596,0.009667404,0.013382468,0.007895664,-0.0054110438,-0.004646674,-0.008717178,0.0050464417,0.012574494,-0.010807605,-0.009735417,-0.009684486,-0.009537265
"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",4.6,9.460398455831276,9.210440366976515,Organic,0,0,0.0,Wearables,APPLE,0,,,,,,,,,4.991384514504119,No Badge,0.0024635643,-0.019569427,0.007118702,-0.006523207,-0.028634027,0.018104792,0.03669686,-0.042877667,-0.001062084,-0.024395168,-0.013234347,0.03353043,0.0047023594,0.0028284788,0.005869746,0.0060223574,-0.016869012,-0.019723184,-0.007844172,-0.0032602046,-0.00064816885,0.016823947,0.013911365,-0.020160407,0.001508534,0.012388196,0.024497684,0.022163223,-0.0056404695,-0.00011394173,0.0024394793,0.0060723536,0.016777717,-0.006597489,0.00088654587,-0.00082978606,-0.018022006,0.012031686,0.014881521,-0.01792021,0.0058511505,-0.005537959,0.008482754,-0.011454165,0.0035690772,0.014808077,0.0047677923,0.008489143,-0.011223029,-0.007010199
"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",4.6,7.554858521040676,9.210440366976515,Organic,0,0,0.0,TV & Video Displays,ROKU,0,,,,,,HD_Basic,,,3.541249137109912,No Badge,0.005957976,-0.030866742,0.0005630255,0.0061198473,0.011895552,0.02685666,0.006842345,0.022510901,-0.04021214,-0.0059578717,-0.007650815,-0.011839524,0.02475889,0.00094230473,0.020154312,0.034459528,0.02972667,-0.014799934,0.00081857294,0.033719633,0.01482024,-0.00011915772,0.002333127,-0.008044984,0.01906883,-0.00237884,0.006099444,-0.017840412,-0.0041732267,0.016569365,0.01612243,0.0052655563,-0.0075761788,-0.009962417,0.03676046,-0.010233201,-0.018952938,-0.024681553,-0.01703152,0.0029698089,-0.0076723676,-0.025783245,0.0034971535,0.008947108,-0.002609475,0.0032342337,0.00051730685,0.008376071,0.0077612586,-0.006610103
