product_title,product_rating,total_reviews,purchased_last_month,original_price,is_sponsored,coupon,buy_box_availability,sustainability_tags,product_image_url,has_coupon,discount_percentage,badge_amazons,badge_best_seller,badge_ends_in,badge_limited_time_deal,badge_no_badge,badge_save_xpct,product_category,log_purchased_last_month,log_original_price,log_total_reviews
"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",4.4,358.0,0,239.99,1,No Coupon,1,0,https://m.media-amazon.com/images/I/51vvx1JymAL._AC_UL320_.jpg,0,0.0,0,0,0,0,1,0,PC Components,0.0,5.484755438853831,5.883322388488279
OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,4.6,276.0,0,42.99,1,No Coupon,1,0,https://m.media-amazon.com/images/I/41d4RtiB8EL._AC_UL320_.jpg,0,0.0,0,0,0,0,1,0,Storage & Memory Cards,0.0,3.783962335360629,5.6240175061873385
"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",4.6,101072.0,50000,35.89,0,No Coupon,0,1,https://m.media-amazon.com/images/I/71y57XPIiaL._AC_UL320_.jpg,0,0.0,0,1,0,0,0,0,"Office Supplies, Ink & Toner",10.819798284210286,3.607940511608584,11.523598307026532
"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",4.6,59092.0,50000,43.89,0,No Coupon,0,0,https://m.media-amazon.com/images/I/51eBahpKdaL._AC_UL320_.jpg,0,0.0,0,0,0,0,1,0,"Office Supplies, Ink & Toner",10.819798284210286,3.804215052793841,10.986867753062814
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.5,108926.0,10000,9.54,0,No Coupon,0,0,https://m.media-amazon.com/images/I/41CiQ7hR31L._AC_UL320_.jpg,0,0.0,0,1,0,0,0,0,Small Gadget Accessories (Cases & Protectors),9.210440366976515,2.355177543113216,11.598433212074823
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",4.8,125404.0,80000,21.89,0,No Coupon,1,0,https://m.media-amazon.com/images/I/71F1yxjGeYL._AC_UL320_.jpg,0,0.14,0,0,0,0,1,0,Power & Batteries,11.289794413577894,3.130700133964476,11.739303778794367
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",4.6,15087.0,10000,16.1,0,No Coupon,0,0,https://m.media-amazon.com/images/I/513OSdW4elL._AC_UL320_.jpg,0,0.0,0,0,0,0,1,0,Wearables,9.210440366976515,2.8390784635086144,9.621655004873238
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",4.8,54244.0,100000,14.33,0,No Coupon,1,0,https://m.media-amazon.com/images/I/81qxJ-PgGLL._AC_UL320_.jpg,0,0.31,0,0,0,0,1,0,"Office Supplies, Ink & Toner",11.51293546492023,2.7298116928837226,10.901266101256551
"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",4.6,12840.0,10000,146.14,0,No Coupon,0,0,https://m.media-amazon.com/images/I/61umEhyV-UL._AC_UL320_.jpg,0,0.0,0,0,0,0,1,0,Wearables,9.210440366976515,4.991384514504119,9.460398455831276
"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",4.6,1909.0,10000,33.51,0,No Coupon,0,1,https://m.media-amazon.com/images/I/71mye7IQ5jL._AC_UL320_.jpg,0,0.0,0,0,0,0,1,0,TV & Video Displays,9.210440366976515,3.541249137109912,7.554858521040676
