category,market_tier,condition,is_premium_brand,tech_generation,ram_gb,storage_gb,size_value,performance_value,power_wattage,resolution_standard,cpu_gpu_tier,connectivity,brand,pack_count,confidence,product_rating,is_best_seller,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,log_original_price,log_purchased_last_month,log_total_reviews
PC Components (Core),Mainstream,New,False,Current-Gen,,2048.0,,,,,,,OWC,1.0,0.95,4.4,No Badge,Sponsored,1,0,0,0.0,5.484755438853831,0.0,5.883322388488279
PC Components (Core),Mainstream,New,False,Current-Gen,,250.0,,,,,,,OWC,1.0,1.0,4.6,No Badge,Sponsored,1,0,0,0.0,3.783962335360629,0.0,5.6240175061873385
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,4.6,Best Seller,Organic,0,1,0,0.0,3.607940511608584,10.819798284210286,11.523598307026532
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,2.0,1.0,4.6,No Badge,Organic,0,0,0,0.0,3.804215052793841,10.819798284210286,10.986867753062814
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,,Sony,1.0,0.9,4.5,Best Seller,Organic,0,0,0,0.0,2.355177543113216,9.210440366976515,11.598433212074823
Accessories & Consumables,Mainstream,New,True,Current-Gen,,,,,,,,,Duracell,24.0,1.0,4.8,No Badge,Organic,1,0,0,0.14,3.130700133964476,11.289794413577894,11.739303778794367
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,Wired,Apple,1.0,1.0,4.6,No Badge,Organic,0,0,0,0.0,2.8390784635086144,9.210440366976515,9.621655004873238
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,150.0,1.0,4.8,No Badge,Organic,1,0,0,0.31,2.7298116928837226,11.51293546492023,10.901266101256551
Smartphones & Wearables,Premium,New,True,Current-Gen,,,40.0,,,2K/QHD (1440p),,GPS,Apple,1.0,0.95,4.6,No Badge,Organic,0,0,0,0.0,4.991384514504119,9.210440366976515,9.460398455831276
Displays & Mounting,Mainstream,New,False,Current-Gen,,,,,,HD/HD+,,,Roku,1.0,0.9,4.6,No Badge,Organic,0,1,0,0.0,3.541249137109912,9.210440366976515,7.554858521040676
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Amazon Basics,200.0,0.95,4.8,Best Seller,Organic,1,0,0,0.0,2.8892600290434745,11.51293546492023,11.396009553253192
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,36.0,1.0,4.7,Best Seller,Organic,1,1,0,0.0,2.740194654428777,11.51293546492023,13.346749356585295
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Texas Instruments,1.0,0.9,4.7,Best Seller,Organic,0,0,0,0.0,2.915064370486536,11.51293546492023,10.788679697308252
Audio & Video Equipment,Premium,New,True,Current-Gen,,,,,,,,Bluetooth,Apple,1.0,1.0,4.6,Best Seller,Organic,0,0,0,0.0,5.095221510537605,9.210440366976515,10.488018924717574
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,,Apple,4.0,1.0,4.8,No Badge,Organic,0,0,0,0.0,4.300545392805998,9.210440366976515,10.274671726667416
