category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,case_keyboard,product_rating,is_best_seller,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,log_original_price,log_purchased_last_month,log_total_reviews,brand_subtype
PC Components (Core),ssd_internal,Mainstream,New,False,Current-Gen,OWC,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEN 4,,,,2048.0,Gen4,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMe,,False,4.4,No Badge,Sponsored,1,0,0,0.0,5.484755438853831,0.0,5.883322388488279,OWC_ssd_internal
PC Components (Core),ssd_internal,Mainstream,New,True,Current-Gen,OWC,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSD,,False,4.6,No Badge,Sponsored,1,0,0,0.0,3.783962335360629,0.0,5.6240175061873385,OWC_ssd_internal
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,HP,0.95,Inkjet,False,False,A4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,False,4.6,Best Seller,Organic,0,1,0,0.0,3.607940511608584,10.819798284210286,11.523598307026532,HP_toner_ink
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,0.95,Inkjet,True,False,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,0,0,0,0.0,3.804215052793841,10.819798284210286,10.986867753062814,HP_toner_ink
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Sony,0.95,,True,,,,,,,,,,,,,,,,,on-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDR-ZX110,,,,,,,,,,,,,,,,False,,,,False,4.5,Best Seller,Organic,0,0,0,0.0,2.355177543113216,9.210440366976515,11.598433212074823,Sony_headphones
"Office, Printing & Power",battery,Mainstream,New,False,Current-Gen,Duracell,0.95,,,,,,24.0,,,,,,,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,1,0,0,0.14,3.130700133964476,11.289794413577894,11.739303778794367,Duracell_battery
Audio & Media Systems,earbuds,Mainstream,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,Apple,,,M-to-M,False,,,,False,4.6,No Badge,Organic,0,0,0,0.0,2.8390784635086144,9.210440366976515,9.621655004873238,Apple_earbuds
Mobile Devices,smartwatch,Mainstream,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,1.57,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Watch SE (2nd Gen),WiFi,,,,,,True,,,,,,,,,True,,,,False,4.6,No Badge,Organic,0,0,0,0.0,4.991384514504119,9.210440366976515,9.460398455831276,Apple_smartwatch
Accessories,remote_control,Mainstream,New,False,Current-Gen,Roku,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,0,1,0,0.0,3.541249137109912,9.210440366976515,7.554858521040676,Roku_remote_control
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Amazon Basics,0.9,,,,A4,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,Best Seller,Organic,1,0,0,0.0,2.8892600290434745,11.51293546492023,11.396009553253192,Amazon Basics_toner_ink
"Office, Printing & Power",battery,Mainstream,New,False,Current-Gen,Amazon Basics,0.95,,,,,,36.0,,,,,,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,Best Seller,Organic,1,1,0,0.0,2.740194654428777,11.51293546492023,13.346749356585295,Amazon Basics_battery
"Office, Printing & Power",calculator,Mainstream,New,False,Current-Gen,Texas Instruments,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,Best Seller,Organic,0,0,0,0.0,2.915064370486536,11.51293546492023,10.788679697308252,Texas Instruments_calculator
Audio & Media Systems,earbuds,Premium,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,True,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.6,Best Seller,Organic,0,0,0,0.0,5.095221510537605,9.210440366976515,10.488018924717574,Apple_earbuds
Networking & Smart Home,smart_tag,Mainstream,New,True,Current-Gen,Apple,0.95,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,0,0,0,0.0,4.300545392805998,9.210440366976515,10.274671726667416,Apple_smart_tag
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Amazon Basics,1.0,,,,A4,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,Best Seller,Organic,1,1,0,0.0,3.71284009155878,11.289794413577894,12.198609868148807,Amazon Basics_toner_ink
