product_title,product_rating,is_best_seller,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,product_category,product_segment,log_original_price,log_purchased_last_month,log_total_reviews,extracted_brand
"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",4.4,No Badge,Sponsored,1,0,0,0.0,PC Components,Media,5.484755438853831,0.0,5.883322388488279,Owc
OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,4.6,No Badge,Sponsored,1,0,0,0.0,Storage & Memory Cards,Media,3.783962335360629,0.0,5.6240175061873385,Owc
"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",4.6,Best Seller,Organic,0,1,0,0.0,"Office Supplies, Ink & Toner",Media,3.607940511608584,10.819798284210286,11.523598307026532,Tp-Link
"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",4.6,No Badge,Organic,0,0,0,0.0,"Office Supplies, Ink & Toner",Media,3.804215052793841,10.819798284210286,10.986867753062814,Tp-Link
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.5,Best Seller,Organic,0,0,0,0.0,"Audio, Sound & Recording Gear",Baja,2.355177543113216,9.210440366976515,11.598433212074823,Sony
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",4.8,No Badge,Organic,1,0,0,0.14,Power & Batteries,Media,3.130700133964476,11.289794413577894,11.739303778794367,Duracell
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",4.6,No Badge,Organic,0,0,0,0.0,Wearables,Baja,2.8390784635086144,9.210440366976515,9.621655004873238,Apple
"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",4.8,No Badge,Organic,1,0,0,0.31,"Office Supplies, Ink & Toner",Baja,2.7298116928837226,11.51293546492023,10.901266101256551,Amazon
"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",4.6,No Badge,Organic,0,0,0,0.0,Wearables,Media,4.991384514504119,9.210440366976515,9.460398455831276,Apple
"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",4.6,No Badge,Organic,0,1,0,0.0,TV & Video Displays,Baja,3.541249137109912,9.210440366976515,7.554858521040676,Roku
"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets, 9 x 11.5-Inch, 200-Pack, 3mil",4.8,Best Seller,Organic,1,0,0,0.0,"Office Supplies, Ink & Toner",Baja,2.8892600290434745,11.51293546492023,11.396009553253192,Amazon
"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 36 Count (Pack of 1)",4.7,Best Seller,Organic,1,1,0,0.0,Power & Batteries,Media,2.740194654428777,11.51293546492023,13.346749356585295,Amazon
"Texas Instruments TI-30XIIS Scientific Calculator, Black with Blue Accents",4.7,Best Seller,Organic,0,0,0,0.0,"Office Supplies, Ink & Toner",Baja,2.915064370486536,11.51293546492023,10.788679697308252,Texas
"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",4.6,Best Seller,Organic,0,0,0,0.0,Wearables,Media,5.095221510537605,9.210440366976515,10.488018924717574,Apple
"Apple AirTag 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",4.8,No Badge,Organic,0,0,0,0.0,Small Gadget Accessories (Cases & Protectors),Media,4.300545392805998,9.210440366976515,10.274671726667416,Apple
"Amazon Basics Multipurpose Copy Printer Paper, 20 lb, 8.5 x 11 Inches, 8 Reams (4,000 Sheets), 92 Bright, White",4.8,Best Seller,Organic,1,1,0,0.0,"Office Supplies, Ink & Toner",Media,3.71284009155878,11.289794413577894,12.198609868148807,Amazon
"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",4.5,No Badge,Organic,0,0,0,0.0,Wearables,Media,4.4898715616246285,9.210440366976515,9.507997527450042,Apple
"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",4.6,Best Seller,Organic,0,0,0,0.0,Mobile Cell Phones & Smartphones,Baja,3.179719109667007,9.210440366976515,10.54812702903103,Apple
"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Black",4.6,Best Seller,Organic,0,0,0,0.0,"Office Supplies, Ink & Toner",Media,4.614625344758847,11.51293546492023,10.703761188563927,Texas
"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",4.7,Best Seller,Organic,0,1,0,0.0,Computer Peripherals,Media,5.652664603477591,9.210440366976515,8.896861744480391,Apple
"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life",4.7,Best Seller,Organic,1,1,0,0.0,Power & Batteries,Media,2.771963526845863,11.51293546492023,13.671177031805664,Amazon
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",4.8,Best Seller,Organic,0,1,0,0.0,Laptops,Media,6.782135365057486,9.210440366976515,7.557472901614746,Apple
Texas Instruments TI-30Xa Scientific Calculator,4.7,No Badge,Organic,1,0,0,0.28,"Office Supplies, Ink & Toner",Baja,2.772588722239781,11.002116507732016,9.769727562356604,Texas
Sharpie Permanent Markers Bulk Set Fine Tip Markers Set For Plastic Metal Wood And More Black 36 Count,4.8,No Badge,Organic,1,0,0,0.0,"Office Supplies, Ink & Toner",Baja,2.9428587839469227,10.819798284210286,9.304012847838818,Sharpie
"Apple Watch Series 10 [GPS 42mm case] Smartwatch with Rose Gold Aluminium Case with Light Blush Sport Band - S/M. Fitness Tracker, ECG App, Always-On Retina Display, Water Resistant",4.7,Best Seller,Organic,0,0,0,0.0,Wearables,Media,5.638781624438787,9.210440366976515,9.374667665397858,Apple
"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",4.4,No Badge,Organic,1,0,0,0.28,Tablets & E-readers (DEVICES ONLY),Media,5.398117451625214,9.210440366976515,9.670861685832426,Samsung
"TP-Link AC1200 WiFi Extender, 2025 Wirecutter Best WiFi Extender, 1.2Gbps Home Signal Booster, Dual Band 5GHz/2.4GHz, Up to 1600 Sq.ft and 32 Devices, EasyMesh Compatible, One Ethernet Port (RE315)",4.2,Best Seller,Organic,1,0,0,0.33,Networking,Baja,3.433664571799657,9.210440366976515,10.4195394952737,Tp-Link
"Scotch Thermal Laminating Pouches, for Use with Thermal Laminators, 8.9 x 11.4 Inches, Letter Size Sheets, 100-Pack",4.9,No Badge,Organic,1,0,0,0.4,Small Gadget Accessories (Cases & Protectors),Baja,3.0440461338325417,11.156264806643742,11.189422759203678,Scotch
"Duracell Coppertop AAA Batteries with Power Boost Ingredients, 24 Count Pack Triple A Battery with Long-Lasting Power, Alkaline AAA Battery for Household and Office Devices",4.8,No Badge,Organic,1,0,0,0.07,Power & Batteries,Media,3.130700133964476,11.002116507732016,11.126762859116562,Duracell
"Apple Pencil Pro: Latest Model - Device Compatibility Check Required - Pixel-Perfect Precision, Tilt and Pressure Sensitivity, Perfect for Note-Taking, Drawing, and Art. Charges and Pairs Magnetically",4.6,No Badge,Organic,0,0,0,0.0,"Office Supplies, Ink & Toner",Media,5.003946305945459,9.210440366976515,8.450412157725886,Apple
"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-free call with VoiceAware, Up to 32 hours of battery life (Black)",4.3,No Badge,Organic,0,0,0,0.0,Wearables,Baja,3.432372999130605,9.210440366976515,10.18716160359037,Jbl
"Scotch Heavy Duty Shipping and Moving Packing Tape, Clear, Packing and Moving Supplies, 1.88 in. x 22.2 yd., 6 Tape Rolls with Dispensers",4.8,Best Seller,Organic,1,0,0,0.31,"Office Supplies, Ink & Toner",Baja,3.0440461338325417,9.210440366976515,11.546128105797946,Scotch
"Amazon Basics File Folders with Tabs for Filing, 1/3-Cut Tab, Assorted Positions, 8.5x11 inches, Letter Size, Manila, Pack of 100",4.8,Best Seller,Organic,1,0,0,0.23,Small Gadget Accessories (Cases & Protectors),Baja,2.733717947850788,11.156264806643742,10.884460545216813,Amazon
"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black",4.7,Best Seller,Organic,1,0,0,0.0,Storage & Memory Cards,Baja,2.48989419129904,9.210440366976515,11.723283630458038,Amazon
Texas Instruments TI-30XS MultiView Scientific Calculator,4.8,No Badge,Organic,1,0,0,0.15,TV & Video Displays,Baja,3.044522437723423,11.156264806643742,10.494685060560329,Texas
"HP 910 Cyan, Magenta, Yellow Ink Cartridges | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN, 3 Count (Pack of 1)",4.6,No Badge,Organic,0,0,0,0.0,"Office Supplies, Ink & Toner",Media,3.889572876590554,10.308985993422082,9.82730820579731,Tp-Link
"Apple Pencil (USB-C): Device Compatibility Check Required - Pixel-Perfect Precision, Tilt Sensitivity, Perfect for Note-Taking, Drawing, and Signing Documents. Charges and Pairs with USB-C",4.6,No Badge,Organic,0,0,0,0.0,Computer Peripherals,Media,4.589955020181611,9.210440366976515,8.721602344674197,Apple
"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",4.6,Best Seller,Organic,1,0,0,0.0,Storage & Memory Cards,Media,4.3943256902608985,9.210440366976515,12.478227288988386,Seagate
"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Cloud Pink",4.6,No Badge,Organic,0,0,0,0.0,Wearables,Media,4.855851080295389,9.210440366976515,9.6941852674104,Apple
"Duracell Coppertop AA Batteries with Power Boost Ingredients, 28 Count (Pack of 1) Long-lasting Alkaline Double AA Battery in Re-closable Pack for Quick Access and Organized Storage",4.8,No Badge,Organic,1,0,0,0.0,Power & Batteries,Media,3.2831643147505627,10.819798284210286,9.738200088297951,Duracell
"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",4.8,Best Seller,Organic,1,0,0,0.12,Storage & Memory Cards,Baja,3.2577118486533987,9.210440366976515,11.19124528445721,Owc
