category,market_tier,condition,is_premium_brand,tech_generation,ram_gb,storage_gb,size_value,performance_value,power_wattage,resolution_standard,cpu_gpu_tier,connectivity,brand,pack_count,confidence,original_title,original_row_id,error_log
PC Components (Core),Mainstream,New,False,Current-Gen,,2048.0,,,,,,,OWC,1.0,0.95,"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",0.0,
PC Components (Core),Mainstream,New,False,Current-Gen,,250.0,,,,,,,OWC,1.0,1.0,OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,1.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,1.0,1.0,"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",2.0,
Accessories & Consumables,Mainstream,New,False,Current-Gen,,,,,,,,,HP,2.0,1.0,"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",3.0,
Audio & Video Equipment,Mainstream,New,False,Current-Gen,,,,,,,,,Sony,1.0,0.9,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.0,
Accessories & Consumables,Mainstream,New,True,Current-Gen,,,,,,,,,Duracell,24.0,1.0,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",5.0,
Audio & Video Equipment,Premium,New,True,Current-Gen,,,,,,,,Wired,Apple,1.0,1.0,"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",6.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,150.0,1.0,"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",7.0,
Smartphones & Wearables,Premium,New,True,Current-Gen,,,40.0,,,2K/QHD (1440p),,GPS,Apple,1.0,0.95,"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",8.0,
Displays & Mounting,Mainstream,New,False,Current-Gen,,,,,,HD/HD+,,,Roku,1.0,0.9,"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",9.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Amazon Basics,200.0,0.95,"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets, 9 x 11.5-Inch, 200-Pack, 3mil",10.0,
Accessories & Consumables,Budget,New,False,Legacy,,,,,,,,,Amazon Basics,36.0,1.0,"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 36 Count (Pack of 1)",11.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Texas Instruments,1.0,0.9,"Texas Instruments TI-30XIIS Scientific Calculator, Black with Blue Accents",12.0,
Audio & Video Equipment,Premium,New,True,Current-Gen,,,,,,,,Bluetooth,Apple,1.0,1.0,"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",13.0,
Accessories & Consumables,Premium,New,True,Current-Gen,,,,,,,,,Apple,4.0,1.0,"Apple AirTag 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",14.0,
Accessories & Consumables,Mainstream,New,False,Legacy,,,,,,,,,Amazon Basics,8.0,1.0,"Amazon Basics Multipurpose Copy Printer Paper, 20 lb, 8.5 x 11 Inches, 8 Reams (4,000 Sheets), 92 Bright, White",15.0,
Audio & Video Equipment,Premium,New,True,Current-Gen,,,,,,,,Bluetooth,Apple,1.0,1.0,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",16.0,
