iter	Passed	Remaining
0	79	395105
1	110	276725
2	138	229913
3	222	278480
4	303	302872
5	325	271241
6	347	247582
7	436	272361
8	502	278524
9	571	285093
10	636	288460
11	685	284878
12	711	272883
13	733	261309
14	835	277646
15	996	310286
16	1043	305737
17	1087	301048
18	1106	290096
19	1114	277429
20	1183	280636
21	1240	280703
22	1301	281617
23	1362	282522
24	1430	284733
25	1487	284495
26	1517	279444
27	1523	270475
28	1576	270296
29	1625	269351
30	1673	268215
31	1722	267458
32	1735	261218
33	1787	261108
34	1838	260790
35	1863	256899
36	1922	257836
37	1929	251952
38	1989	253051
39	2000	248054
40	2011	243352
41	2068	244158
42	2129	245470
43	2157	242988
44	2170	239035
45	2237	241006
46	2308	243269
47	2366	244177
48	2424	244936
49	2458	243402
50	2475	240262
51	2532	240958
52	2539	237019
53	2593	237555
54	2600	233834
55	2604	229924
56	2656	230341
57	2708	230772
58	2758	231021
59	2765	227712
60	2809	227479
61	2869	228549
62	2924	229149
63	2985	230290
64	3049	231524
65	3111	232588
66	3166	233128
67	3177	230449
68	3234	231120
69	3287	231531
70	3319	230433
71	3375	231056
72	3398	229376
73	3405	226672
74	3460	227254
75	3495	226469
76	3549	226926
77	3558	224546
78	3612	225038
79	3619	222583
80	3649	221651
81	3703	222113
82	3720	220417
83	3779	221175
84	3788	219058
85	3804	217407
86	3828	216219
87	3837	214226
88	3890	214664
89	3942	215106
90	3998	215721
91	4005	213662
92	4022	212250
93	4076	212783
94	4093	211344
95	4096	209274
96	4100	207252
97	4109	205572
98	4162	206040
99	4227	207151
100	4240	205708
101	4296	206314
102	4355	207090
103	4414	207843
104	4444	207208
105	4452	205581
106	4490	205367
107	4548	206041
108	4551	204251
109	4610	204961
110	4676	205970
111	4730	206472
112	4782	206830
113	4835	207233
114	4841	205671
115	4895	206127
116	4902	204601
117	4912	203244
118	4929	202203
119	4983	202667
120	4999	201605
121	5009	200314
122	5066	200869
123	5121	201394
124	5162	201349
125	5184	200561
126	5191	199189
127	5201	197994
128	5214	196914
129	5268	197370
130	5290	196633
131	5350	197315
132	5392	197351
133	5446	197764
134	5459	196753
135	5490	196379
136	5502	195326
137	5557	195817
138	5604	196009
139	5660	196490
140	5711	196833
141	5718	195620
142	5774	196138
143	5784	195079
144	5841	195600
145	5845	194342
146	5871	193848
147	5893	193206
148	5951	193770
149	5966	192915
150	6022	193408
151	6026	192216
152	6082	192687
153	6136	193091
154	6202	193872
155	6256	194276
156	6313	194743
157	6334	194123
158	6393	194648
159	6415	194078
160	6469	194459
161	6528	194971
162	6586	195447
163	6649	196071
164	6652	194940
165	6659	193922
166	6718	194435
167	6770	194742
168	6823	195042
169	6886	195667
170	6901	194890
171	6960	195377
172	6982	194816
173	7037	195185
174	7093	195590
175	7146	195875
176	7203	196291
177	7257	196610
178	7267	195745
179	7323	196107
180	7344	195541
181	7404	196024
182	7447	196027
183	7503	196391
184	7558	196736
185	7570	195931
186	7584	195198
187	7639	195543
188	7693	195833
189	7746	196103
190	7803	196472
191	7857	196768
192	7911	197060
193	7967	197389
194	8018	197589
195	8049	197303
196	8052	196336
197	8107	196618
198	8166	197011
199	8226	197426
200	8258	197171
201	8314	197481
202	8373	197869
203	8391	197285
204	8444	197508
205	8509	198025
206	8565	198319
207	8622	198656
208	8684	199085
209	8737	199291
210	8784	199386
211	8833	199501
212	8864	199221
213	8918	199447
214	8967	199571
215	9018	199737
216	9101	200615
217	9173	201224
218	9232	201559
219	9238	200737
220	9291	200920
221	9348	201198
222	9398	201339
223	9452	201538
224	9501	201639
225	9560	201952
226	9614	202152
227	9668	202366
228	9722	202559
229	9819	203645
230	9872	203813
231	9918	203840
232	9968	203953
233	10021	204103
234	10073	204253
235	10123	204359
236	10176	204511
237	10229	204680
238	10285	204893
239	10337	205017
240	10388	205139
241	10439	205246
242	10485	205269
243	10534	205329
244	10578	205300
245	10625	205341
246	10671	205351
247	10721	205437
248	10768	205472
249	10816	205508
250	10863	205539
251	10911	205588
252	10962	205695
253	11010	205727
254	11058	205782
255	11109	205866
256	11153	205848
257	11203	205911
258	11249	205924
259	11298	205983
260	11355	206175
261	11407	206287
262	11454	206315
263	11506	206427
264	11553	206444
265	11601	206465
266	11652	206563
267	11702	206619
268	11749	206640
269	11792	206582
270	11835	206537
271	11883	206564
272	11927	206524
273	11973	206518
274	12024	206607
275	12071	206620
276	12119	206635
277	12166	206655
278	12213	206658
279	12266	206773
280	12316	206837
281	12363	206842
282	12412	206885
283	12460	206908
284	12507	206930
285	12555	206951
286	12604	206978
287	12652	207010
288	12703	207085
289	12753	207127
290	12798	207099
291	12844	207095
292	12889	207068
293	12936	207072
294	12979	207009
295	13027	207025
296	13077	207077
297	13125	207099
298	13171	207086
299	13215	207037
300	13267	207118
301	13319	207209
302	13365	207181
303	13410	207157
304	13456	207135
305	13506	207188
306	13557	207252
307	13604	207250
308	13654	207289
309	13701	207283
310	13745	207239
311	13788	207185
312	13835	207172
313	13882	207179
314	13937	207292
315	13983	207277
316	14036	207352
317	14084	207374
318	14130	207357
319	14178	207353
320	14227	207385
321	14276	207405
322	14325	207432
323	14377	207495
324	14431	207592
325	14481	207624
326	14541	207807
327	14589	207810
328	14636	207807
329	14682	207784
330	14731	207795
331	14777	207773
332	14828	207823
333	14876	207830
334	14924	207831
335	14975	207879
336	15022	207859
337	15071	207883
338	15119	207880
339	15167	207878
340	15216	207897
341	15270	207976
342	15319	207998
343	15370	208041
344	15416	208012
345	15464	208009
346	15512	208004
347	15562	208042
348	15610	208039
349	15655	207994
350	15706	208027
351	15757	208075
352	15805	208073
353	15852	208048
354	15898	208018
355	15944	207990
356	15992	207991
357	16038	207958
358	16087	207974
359	16135	207973
360	16183	207964
361	16235	208011
362	16289	208084
363	16342	208141
364	16397	208225
365	16445	208224
366	16494	208228
367	16542	208215
368	16590	208211
369	16640	208232
370	16690	208252
371	16740	208269
372	16790	208283
373	16835	208242
374	16879	208183
375	16924	208132
376	16972	208131
377	17022	208148
378	17070	208138
379	17117	208107
380	17163	208078
381	17212	208077
382	17260	208074
383	17313	208123
384	17361	208109
385	17414	208160
386	17461	208133
387	17506	208098
388	17553	208069
389	17601	208059
390	17654	208101
391	17699	208059
392	17748	208053
393	17793	208007
394	17838	207965
395	17884	207930
396	17927	207856
397	17976	207863
398	18027	207880
399	18076	207879
400	18125	207875
401	18171	207846
402	18225	207891
403	18281	207969
404	18332	207992
405	18387	208060
406	18440	208100
407	18490	208114
408	18539	208108
409	18588	208100
410	18640	208125
411	18688	208118
412	18745	208194
413	18796	208212
414	18841	208164
415	18890	208154
416	18938	208139
417	18985	208111
418	19031	208079
419	19077	208039
420	19129	208066
421	19177	208039
422	19224	208016
423	19276	208037
424	19328	208070
425	19376	208041
426	19427	208058
427	19473	208015
428	19522	208015
429	19569	207983
430	19620	207998
431	19670	207995
432	19717	207970
433	19767	207966
434	19816	207955
435	19859	207884
436	19904	207832
437	19953	207824
438	20001	207805
439	20053	207827
440	20099	207782
441	20145	207747
442	20196	207755
443	20245	207741
444	20294	207731
445	20348	207769
446	20397	207765
447	20447	207765
448	20496	207752
449	20549	207781
450	20599	207776
451	20645	207734
452	20692	207702
453	20741	207690
454	20790	207672
455	20834	207615
456	20882	207588
457	20927	207539
458	20973	207491
459	21019	207456
460	21066	207416
461	21113	207391
462	21154	207299
463	21199	207247
464	21244	207193
465	21293	207181
466	21345	207195
467	21395	207190
468	21443	207167
469	21488	207110
470	21544	207162
471	21593	207150
472	21645	207169
473	21694	207146
474	21743	207133
475	21790	207104
476	21836	207053
477	21884	207030
478	21928	206971
479	21975	206932
480	22023	206914
481	22073	206902
482	22119	206856
483	22169	206854
484	22218	206841
485	22263	206782
486	22311	206755
487	22359	206731
488	22409	206729
489	22456	206689
490	22506	206685
491	22551	206625
492	22599	206602
493	22646	206564
494	22690	206507
495	22736	206458
496	22781	206406
497	22831	206401
498	22879	206372
499	22923	206312
500	22969	206264
501	23014	206209
502	23056	206134
503	23104	206102
504	23154	206099
505	23198	206037
506	23252	206058
507	23299	206029
508	23349	206017
509	23398	206000
510	23451	206018
511	23499	205991
512	23548	205967
513	23596	205939
514	23643	205906
515	23692	205886
516	23743	205886
517	23792	205868
518	23837	205806
519	23882	205756
520	23927	205702
521	23975	205675
522	24023	205648
523	24068	205593
524	24116	205566
525	24161	205508
526	24211	205501
527	24260	205476
528	24310	205468
529	24357	205429
530	24410	205442
531	24458	205412
532	24509	205411
533	24554	205359
534	24602	205325
535	24651	205305
536	24698	205265
537	24746	205239
538	24800	205257
539	24855	205288
540	24907	205290
541	24967	205356
542	25022	205383
543	25075	205399
544	25140	205508
545	25197	205550
546	25261	205647
547	25333	205813
548	25393	205873
549	25456	205969
550	25520	206061
551	25571	206054
552	25632	206123
553	25692	206189
554	25752	206252
555	25806	206268
556	25861	206291
557	25912	206282
558	25963	206270
559	26020	206305
560	26070	206288
561	26125	206305
562	26172	206261
563	26219	206219
564	26271	206220
565	26311	206120
566	26369	206162
567	26422	206172
568	26481	206219
569	26539	206261
570	26591	206255
571	26646	206274
572	26698	206274
573	26749	206258
574	26798	206230
575	26852	206243
576	26899	206201
577	26944	206143
578	26989	206076
579	27031	205999
580	27078	205955
581	27127	205927
582	27170	205854
583	27220	205835
584	27269	205799
585	27317	205768
586	27367	205745
587	27417	205723
588	27468	205713
589	27517	205678
590	27565	205641
591	27614	205618
592	27666	205612
593	27715	205583
594	27766	205564
595	27841	205726
596	27892	205712
597	27944	205708
598	28001	205732
599	28052	205719
600	28102	205691
601	28149	205648
602	28198	205622
603	28267	205736
604	28328	205794
605	28401	205933
606	28511	206341
607	28573	206408
608	28622	206374
609	28673	206352
610	28727	206361
611	28792	206441
612	28849	206464
613	28909	206512
614	28966	206533
615	29015	206499
616	29066	206477
617	29111	206418
618	29164	206415
