category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,model_used,original_title,original_row_id,error_log
Mobile Devices,gps_navigator,Mainstream,New,True,Current-Gen,Garmin,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Garmin Foretrex 801, Wrist-Mounted GPS Navigation with Strap, Upgraded Multi-Band GNSS, Longer Battery Life",0.0,
Accessories,cable,Mainstream,New,False,Current-Gen,Not specified,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,,,,M-to-M,,,,,gpt-4o-mini,USB-C Charging Play Cable for DualSense Wireless Controller,1.0,
"Cameras, Photography & Video",lens,Mainstream,New,True,Current-Gen,Canon,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prime,2.8,,,,,,,,,,,,,,,,RF28mm F2.8 STM,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Canon RF28mm F2.8 STM Lens, RF Mount, Wide-Angle, for Full-Frame Cameras",2.0,
"Cameras, Photography & Video",mirrorless_dslr,Mainstream,New,True,Current-Gen,Nikon,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Frame,4K,,,,,,,,,,,,,,,,,,,,,,Z 7II,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Nikon Z 7II | Ultra-high resolution full-frame mirrorless stills/video camera | Nikon USA Model,3.0,
"Cameras, Photography & Video",camera,Mainstream,New,False,Current-Gen,Fujifilm,0.95,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Fujifilm Instax Square SQ40 Instant Camera Vintage Black + Fuji Instax Film Value Pack (40 Sheets) + Shutter Accessories Bundle, Includes Style Compatible Carrying Case, Photo Album 80 Pockets",4.0,
Audio & Media Systems,speaker,Premium,New,True,Current-Gen,Klipsch,0.95,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Klipsch The Austin Portable Bluetooth Speaker with a 1.5"" Full Range Driver, IP67 dust and Waterproof Rating, 12 Hours of Playtime for a Premium Live Concert Experience",5.0,
Audio & Media Systems,earbuds,Mainstream,New,True,Current-Gen,OnePlus,0.95,,,,,,,,,,,,,,,,,,True,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buds 3,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"OnePlus Buds 3, Metallic Gray, Deep Bass, ANC, Immersive Sound, Up to 44 Hour Playtime with Charging case, Bluetooth 5.3",6.0,
PC Components (Core),psu,Mainstream,New,True,Current-Gen,Microsoft,0.95,,,,,,,,,,,,65.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Microsoft Surface Power Supply 65W and Power Adapter Non Retail Packaging,7.0,
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,Skullcandy,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Skullcandy Barrel Bluetooth Boombox Speaker – Water-Resistant Wireless Portable Speaker, with LED Lightshow Mode, 12 Hour Battery, Multi-Link, & USB-C & USB-A Output Charging",8.0,
Displays & Mounting,mount_wall,Mainstream,New,False,Current-Gen,Mounting Dream,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,Tilt,1.0,54.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Mounting Dream Advanced Tilt TV Wall Mount for Most 42-90 Inch Flat and Curved Television, Universal Mount Bracket with Extension up to 7 inch, Fits 16"", 24"", 32"" Studs, Max VESA 800x400mm and 120LBS",9.0,
