category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,model_used,original_title,original_row_id,error_log
PC Components (Core),ssd_internal,Mainstream,New,False,Current-Gen,OWC,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GEN 4,,,,2048.0,Gen4,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMe,,gpt-4o-mini,"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",0.0,
PC Components (Core),ssd_internal,Mainstream,New,True,Current-Gen,OWC,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSD,,gpt-4o-mini,OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air,1.0,
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,HP,0.95,Inkjet,False,False,A4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,gpt-4o-mini,"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",2.0,
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,0.95,Inkjet,True,False,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",3.0,
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Sony,0.95,,True,,,,,,,,,,,,,,,,,on-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDR-ZX110,,,,,,,,,,,,,,,,False,,,,gpt-4o-mini,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",4.0,
"Office, Printing & Power",battery,Mainstream,New,False,Current-Gen,Duracell,0.95,,,,,,24.0,,,,,,,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",5.0,
Audio & Media Systems,earbuds,Mainstream,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,Apple,,,M-to-M,False,,,,gpt-4o-mini,"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",6.0,
Out of Scope,excluded,Mainstream,New,False,Legacy,Amazon Basics,0.9,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow",7.0,
Mobile Devices,smartwatch,Mainstream,New,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,1.57,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Watch SE (2nd Gen),WiFi,,,,,,True,,,,,,,,,True,,,,gpt-4o-mini,"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",8.0,
Audio & Media Systems,streaming_device,Mainstream,New,False,Current-Gen,Roku,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",9.0,
