iter	Passed	Remaining
0	33	107608
1	65	104141
2	113	119534
3	150	119512
4	183	116442
5	218	115261
6	251	113848
7	286	113307
8	318	112061
9	354	112214
10	388	111861
11	421	111084
12	453	110240
13	487	110072
14	528	111459
15	565	111714
16	604	112326
17	645	113243
18	684	113732
19	719	113529
20	763	114735
21	802	115031
22	834	114345
23	870	114282
24	911	114888
25	952	115456
26	989	115351
27	1028	115626
28	1065	115677
29	1101	115503
30	1137	115375
31	1171	115118
32	1204	114707
33	1239	114577
34	1275	114473
35	1309	114198
36	1348	114377
37	1383	114221
38	1420	114288
39	1507	118172
40	1565	119716
41	1604	119759
42	1642	119691
43	1677	119428
44	1713	119216
45	1751	119178
46	1787	119000
47	1828	119166
48	1860	118754
49	1896	118559
50	1915	117401
51	1956	117558
52	1997	117684
53	2032	117525
54	2072	117617
55	2117	117952
56	2156	118009
57	2190	117733
58	2226	117646
59	2272	118033
60	2309	117948
61	2351	118107
62	2385	117892
63	2421	117762
64	2456	117575
65	2499	117762
66	2533	117543
67	2572	117600
68	2624	118163
69	2657	117936
70	2688	117559
71	2724	117457
72	2761	117389
73	2797	117264
74	2833	117158
75	2872	117168
76	2903	116857
77	2933	116517
78	2958	115987
79	2994	115881
80	3028	115708
81	3087	116511
82	3121	116337
83	3155	116150
84	3190	116012
85	3237	116332
86	3274	116249
87	3307	116079
88	3342	115929
89	3375	115742
90	3408	115539
91	3443	115426
92	3472	115128
93	3508	115022
94	3543	114925
95	3585	115034
96	3623	115014
97	3657	114865
98	3694	114817
99	3729	114734
100	3766	114674
101	3806	114729
102	3843	114666
103	3877	114543
104	3929	114934
105	3966	114875
106	3995	114585
107	4033	114589
108	4068	114486
109	4102	114347
110	4134	114161
111	4169	114070
112	4202	113912
113	4238	113857
114	4277	113857
115	4308	113666
116	4345	113609
117	4375	113386
118	4409	113287
119	4440	113093
120	4480	113131
121	4515	113041
122	4550	112948
123	4593	113070
124	4632	113063
125	4660	112820
126	4693	112669
127	4730	112653
128	4766	112581
129	4802	112517
130	4838	112477
131	4876	112464
132	4914	112444
133	4956	112517
134	4987	112356
135	5022	112276
136	5054	112123
137	5089	112040
138	5124	111970
139	5161	111927
140	5190	111733
141	5224	111635
142	5262	111616
143	5303	111675
144	5339	111612
145	5381	111681
146	5415	111582
147	5452	111551
148	5486	111461
149	5523	111434
150	5565	111487
151	5603	111482
152	5642	111476
153	5686	111589
154	5724	111575
155	5761	111527
156	5797	111490
157	5831	111386
158	5865	111293
159	5901	111242
160	5930	111050
161	5965	110987
162	6004	110990
163	6042	110970
164	6080	110962
165	6115	110883
166	6145	110737
167	6185	110742
168	6218	110653
169	6254	110592
170	6290	110535
171	6335	110648
172	6366	110518
173	6402	110460
174	6438	110412
175	6476	110388
176	6510	110315
177	6549	110305
178	6592	110375
179	6631	110382
180	6668	110342
181	6704	110298
182	6741	110257
183	6772	110119
184	6805	110032
185	6842	109995
186	6877	109937
187	6919	109976
188	6958	109981
189	6999	110006
190	7030	109882
191	7066	109830
192	7105	109820
193	7145	109827
194	7180	109764
195	7213	109667
196	7249	109622
197	7296	109739
198	7345	109892
199	7382	109852
200	7419	109811
201	7456	109773
202	7493	109748
203	7529	109687
204	7565	109637
205	7604	109635
206	7634	109497
207	7663	109355
208	7697	109278
209	7733	109221
210	7772	109220
211	7806	109146
212	7838	109036
213	7876	109013
214	7914	108996
215	7945	108880
216	7981	108835
217	8017	108792
218	8052	108725
219	8091	108717
220	8125	108651
221	8162	108606
222	8191	108478
223	8227	108430
224	8262	108362
225	8296	108292
226	8331	108241
227	8366	108183
228	8413	108268
229	8446	108188
230	8483	108154
231	8518	108098
232	8563	108170
233	8611	108268
234	8652	108288
235	8695	108330
236	8731	108273
237	8769	108253
238	8807	108233
239	8843	108186
240	8882	108169
241	8918	108128
242	8955	108091
243	8994	108081
244	9030	108032
245	9063	107949
246	9107	108005
247	9146	107986
248	9179	107911
249	9221	107932
250	9262	107935
251	9298	107891
252	9337	107879
253	9369	107789
254	9407	107767
255	9467	107984
256	9511	108026
257	9544	107948
258	9580	107899
259	9618	107874
260	9654	107824
261	9698	107870
262	9737	107852
263	9775	107822
264	9815	107817
265	9859	107864
266	9897	107835
267	9936	107818
268	9974	107790
269	10011	107757
270	10048	107718
271	10085	107677
272	10123	107648
273	10159	107602
274	10198	107582
275	10232	107515
276	10268	107462
277	10300	107372
278	10336	107333
279	10375	107315
280	10412	107276
281	10447	107216
282	10483	107166
283	10523	107161
284	10561	107134
285	10600	107121
286	10642	107132
287	10672	107019
288	10716	107055
289	10731	106801
290	10761	106687
291	10796	106636
292	10835	106616
293	10870	106556
294	10909	106539
295	10966	106705
296	11004	106673
297	11048	106702
298	11102	106831
299	11149	106883
300	11197	106950
301	11250	107064
302	11283	106987
303	11321	106953
304	11367	106999
305	11401	106931
306	11446	106966
307	11486	106959
308	11542	107097
309	11587	107128
310	11630	107141
311	11679	107209
312	11726	107262
313	11771	107297
314	11810	107265
315	11851	107260
316	11890	107242
317	11936	107279
318	11976	107260
319	12011	107199
320	12050	107176
321	12095	107208
322	12132	107163
323	12167	107104
324	12205	107072
325	12242	107032
326	12279	106982
327	12311	106903
328	12359	106955
329	12395	106902
330	12434	106875
331	12468	106810
332	12503	106748
333	12540	106706
334	12582	106710
335	12621	106683
336	12660	106653
337	12697	106611
338	12738	106603
339	12775	106565
340	12813	106528
341	12845	106445
342	12887	106447
343	12927	106428
344	12965	106395
345	13003	106355
346	13040	106319
347	13079	106288
348	13115	106241
349	13153	106205
350	13188	106150
351	13228	106125
352	13260	106044
353	13312	106122
354	13345	106050
355	13382	106005
356	13429	106041
357	13471	106040
358	13523	106115
359	13560	106069
360	13599	106049
361	13632	105968
362	13677	105989
363	13726	106042
364	13762	105991
365	13804	105984
366	13838	105916
367	13877	105890
368	13911	105826
369	13952	105809
370	13985	105741
371	14022	105694
372	14059	105656
373	14098	105625
374	14139	105609
375	14171	105532
376	14225	105616
377	14265	105598
378	14306	105577
379	14350	105586
380	14386	105537
381	14426	105516
382	14474	105555
383	14518	105564
384	14552	105497
385	14599	105526
386	14639	105503
387	14677	105468
388	14721	105470
389	14755	105406
390	14790	105351
391	14839	105389
392	14877	105355
393	14910	105279
394	14948	105242
395	14987	105216
396	15025	105177
397	15064	105147
398	15104	105128
399	15143	105096
400	15179	105046
401	15221	105036
402	15258	104990
403	15295	104950
404	15330	104889
405	15382	104946
406	15415	104880
407	15449	104815
408	15488	104784
409	15526	104750
410	15566	104724
411	15606	104702
412	15649	104699
413	15688	104664
414	15727	104634
415	15761	104568
416	15799	104532
417	15837	104494
418	15877	104472
419	15915	104436
420	15954	104405
421	15993	104375
422	16029	104327
423	16059	104238
424	16096	104194
425	16129	104122
426	16167	104086
427	16201	104024
428	16237	103974
429	16279	103959
430	16317	103926
431	16353	103873
432	16386	103808
433	16423	103765
434	16464	103744
435	16499	103690
436	16540	103671
437	16577	103625
438	16615	103592
439	16654	103563
440	16691	103514
441	16728	103474
442	16768	103447
443	16806	103413
444	16840	103350
445	16875	103296
446	16913	103257
447	16947	103197
448	16985	103164
449	17021	103112
450	17053	103039
451	17095	103024
452	17129	102968
453	17163	102908
454	17205	102892
455	17241	102844
456	17277	102793
457	17316	102764
