category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,model_used,original_title,original_row_id,error_log
Displays & Mounting,tv,Mainstream,New,False,Current-Gen,Westinghouse,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,FHD_1080p,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Westinghouse 32 Inch TV, HD LED Small Flat Screen Non-Smart Television, Works with Fire Stick, Roku, Apple TV, TiVo, Xumo, and Streaming Devices",0.0,
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,E-Z Ink,0.95,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,E-Z Ink Compatible Drum Unit Replacement for Brother DR 730 Drum Unit Compatible with HL-L2350DW HL-L2395DW HL-L2370DW HL-L2370DWXL MFC-L2750DW MFC-L2710DW Printer (2 Pack),1.0,
Displays & Mounting,monitor,Mainstream,New,False,Current-Gen,ASUS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,QHD_1440p,,165.0,,wall,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,VG32VQ1B,,,,,,,,,"DisplayPort, HDMI",,,,,,,,,,,gpt-4o-mini,"ASUS TUF Gaming 32"" 1440P HDR Curved Monitor (VG32VQ1B) - QHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, FreeSync Premium, VESA Mountable, DisplayPort, HDMI,BLACK",2.0,
"Cameras, Photography & Video",mirrorless_dslr,Mainstream,New,True,Current-Gen,Canon,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Frame,4K,False,,24.2,,,,True,,,,,,,,,,,,,,,EOS R6 Mark II,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Canon EOS R6 Mark II Mirrorless Camera RF24-105mm F4-7.1 is STM Lens Kit, Full-Frame Hybrid Camera, 24.2 Megapixel CMOS Sensor, Photo and Video Capabilities, Black",3.0,
Out of Scope,excluded,Mainstream,New,False,Current-Gen,AmScope,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"AmScope M150 Series Portable LED Monocular Student Compound Microscope - 40X-1000X Magnification - Microscope Kit Includes Dust Cover, 2 Clips & 2 Eyepieces",4.0,
"Office, Printing & Power",label_printer,Mainstream,New,False,Current-Gen,DYMO,0.9,Thermal,False,False,A4,,3.0,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,DYMO Embossing Label Maker with 3 DYMO Label Tapes Organizer Xpress Pro Starter Kit Ergonomic Design For Home DIY & Crafting,5.0,
"Office, Printing & Power",battery,Mainstream,New,False,Current-Gen,Panasonic,0.95,,,,,,4.0,,,,,,3.0,Wh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Panasonic CR2032 3.0 Volt Long Lasting Lithium Coin Cell Batteries in Child Resistant, Standards Based Packaging, 4 Pack",6.0,
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Humminbird,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Humminbird 411660-1 Helix 5 Chirp GPS G3 Fish Finder,7.0,
Accessories,protection_case,Mainstream,New,False,Legacy,Amazon Basics,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Amazon Basics Laptop and Tablet Bag Case,8.0,
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Remington,0.9,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Remington Vacuum Haircut Kit, Vacuum Beard Trimmer, Hair Clippers for Men with Removable Hair Chamber and Dual Motor Power (18 pieces)",9.0,
Displays & Mounting,monitor,Mainstream,New,False,Current-Gen,Acer,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,FHD_1080p,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KG271 X1biip,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,acer Nitro 27 Inch Full HD 1920 x 1080 ZeroFrame Design Gaming IPS Monitor | AMD FreeSync Premium | 200Hz Refresh | Up to 0.5ms | 1 x Display Port 1.2 and 2 x HDMI 2.0 Ports | KG271 X1biip,10.0,
Audio & Media Systems,receiver,Mainstream,New,True,Current-Gen,YAMAHA,0.95,,,,,,,,,,,,,,2.0,100.0,False,False,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,YAMAHA R-S202BL Stereo Receiver,11.0,
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,ASUS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,Intel Celeron N4500,,,8.0,128.0,,,,,,,,,,CX1505CKA-AS88F-PG,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ASUS Chromebook CX15 Laptop, 15.6"" FHD Anti-Glare Display, Intel Celeron N4500 Processor, 128GB Storage, 8GB RAM, ChromeOS, Pure Grey, CX1505CKA-AS88F-PG",12.0,
"Office, Printing & Power",surge_protector,Mainstream,New,False,Current-Gen,Belkin,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Belkin 8-Outlet Surge Protector w/ 8 AC Outlets & 8ft Long Flat Plug, UL-listed Heavy-Duty Extension Cord for Home, Office, Travel, Computer Desktop, Laptop, Phone Charger - 2,500 Joules of Protection",13.0,
