category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,model_used,original_title,original_row_id
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Canon,0.95,Inkjet,False,False,A4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Canon PG-240 XXL Genuine Black Ink Cartridge, Compatible with MG2120/3120/4120, MX512/432/472/372/392/522/532/452, MG2220/3220/4220/3520/3620, TS5120",0
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Lenovo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6_AX,,,,,,,,,15.6,FHD_1080p,,,,,,,,,,,,,,,,,,Intel Core i7-1255U,,,16.0,512.0,Gen4,,,,,,,,,V15,,,,,,,,,,,,,,,,,,SSD,,gpt-4o-mini,"Lenovo V15 Laptop for Business, Home, Student | 15.6"" FHD Anti-Glare Display | Intel Core i7-1255U | 16GB RAM | 512GB SSD | HDMI | Type-C | RJ-45 | Numeric Keypad | Webcam | Wi-Fi 6 | Windows 11 Pro",1
"Cameras, Photography & Video",video_conf_system,Mainstream,New,False,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,,,,,1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Logitech BCC950 Desktop Video Conferencing Solution, Full HD 1080p B23 Video Calling, Hi-Definition Webcam, Speakerphone with Noise-Reducing Mic, For Skype, WebEx, Zoom PC/Mac/Laptop/Macbook - Black",2
Computers & Gaming,nas,Mainstream,New,False,Current-Gen,Synology,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,DS224+,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Synology 2-Bay DiskStation DS224+ (Diskless),3
Out of Scope,excluded,Mainstream,New,False,Current-Gen,VTech,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,VTech VG232 Cordless Phone with Answering Machine - with Large Display Full-Duplex Speakerphone Caller ID/Call Waiting Last 10 Number Redial,4
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Retevis,0.9,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Retevis RT68 Two Way Radio Long Range Walkie Talkies for Adults,Compact, Rugged, Heavy Duty 2 Way Radios Rechargeable with USB Charging Base, for School Restaurant Church Business(10 Pack)",5
Audio & Media Systems,earbuds,Mainstream,New,False,Current-Gen,Skullcandy,0.95,,,,,,,,,,,,,,,,,,True,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Skullcandy Push ANC Active Wireless Earbuds, Bluetooth Headphones, Noise Cancelling, 58 Hours Battery, Secure-Fit Over-Ear Hanger, Sweat and Waterproof, Microphone for iPhone Android - Black/Orange",6
PC Components (Core),ssd_internal,Mainstream,New,False,Current-Gen,PNY,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M.2 NVMe,,,,1024.0,,,,,,,,,,CS2230,,,,,,,,,,,,,,,,,,NVMe,,gpt-4o-mini,PNY CS2230 1TB M.2 NVMe Internal Solid State Drive (SSD) - M280CS2230-1TB-RB,7
Displays & Mounting,monitor,Mainstream,New,True,Current-Gen,Samsung,1.0,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,32.0,4K_UHD,,240.0,,,,,,,,4K,,,,,,,,,,,,,,,,,,,,,,Odyssey Neo G8 (G85NB),,,,,,,,,DisplayPort,,,,,,,,,,,gpt-4o-mini,"Samsung 32"" Odyssey Neo G8 (G85NB) 4K UHD 240Hz 1ms G-Sync 1000R Curved Gaming Monitor, Quantum HDR2000, AMD FreeSync Premium Pro, Matte Display, DisplayPort, Black & White, LS32BG852NNXGO",8
Networking & Smart Home,smart_alarm,Mainstream,New,False,Current-Gen,SABRE,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery,WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"SABRE 110dB Door Handle Alarm, Extremely Loud Wireless Alarm Audible Up To 680 Ft Away, Hangs Off Door Knob or Handle, Vibration-Triggered Home Security Alarm, 3 Adjustable Settings, Great for Travel",9
